country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3,gdp_growth,unemployment
Botswana,2020,50.905109289617485,16.526249557575756,0.0485501628099173,,BWA,-8.72888243996397,21.017
Botswana,2021,50.62016438356165,232.90469894794523,2.7050344238356163,47.91997,BWA,11.9162724376008,23.106
Botswana,2022,7.908027397260275,119.00130165232876,0.3750442139726027,69.14519,BWA,5.48601706446772,23.615
Brazil,2020,57.50562841530055,99.07557582329972,2.523944228403857,,BRA,-3.27675879612903,13.697
Brazil,2021,59.72449315068493,192.0386864368132,5.551404169643836,79.02541,BRA,4.7626043797061,13.158
Brazil,2022,28.373068493150686,182.884894579726,0.9759667046947944,89.65677,BRA,3.01669435408112,9.231
Brunei,2020,38.31950819672132,0.9497838608815428,0.0181487371900826,,BRN,1.1335733495246,7.409
Brunei,2021,52.79276712328768,92.15366644849315,0.3489529605479452,89.13289,BRN,-1.59076260099606,4.905
Brunei,2022,27.37901369863014,1532.5352700164383,0.523429445479452,98.90859,BRN,-1.62833154515108,5.191
Bulgaria,2020,41.0883606557377,79.6613782137741,2.874741580413223,0.06750796,BGR,-3.13323303076419,5.125
Bulgaria,2021,48.39558904109589,215.3365446794521,9.394166968219178,27.896008,BGR,7.82817232822165,5.267
Bulgaria,2022,19.00528767123288,219.44541052054797,3.013518724931507,30.834963,BGR,4.0838640915123,4.268
Burkina Faso,2020,31.35743169398907,0.8208517805592287,0.0104029224986225,,BFA,2.01077262406221,5.04
Burkina Faso,2021,19.65,1.3297550536027396,0.0283599932273972,4.319936,BFA,6.94252492572348,5.2
Burkina Faso,2022,10.447534246575342,0.5344580631671233,0.0093721866630136,19.399878,BFA,1.62673258211919,5.389
Burundi,2020,11.843879781420764,0.1691634482093664,0.0004136025344352,,BDI,0.306443809481593,1.03
Burundi,2021,16.0901095890411,6.114924570465754,0.0024680173150684,0.030102614,BDI,3.23707479823578,1.118
Burundi,2022,19.626821917808225,4.444899455342466,0.000205668109589,0.21425405,BDI,2.31770122223331,0.915
