country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3
Italy,2022,27.48643835616438,881.7165180273972,2.1848746635068492,85.42384,ITA
Jamaica,2020,64.02325136612022,12.413019450688704,0.2930299344352617,,JAM
Jamaica,2021,73.64923287671233,77.96854135150684,2.0920789912328766,25.094341,JAM
Jamaica,2022,24.239424657534244,57.126879670410965,0.9618263467032966,29.70773,JAM
Japan,2020,32.56775956284153,5.075668306666667,0.07524112404958677,,JPN
Japan,2021,48.84783561643835,32.953710646,0.3283131926739726,80.97423,JPN
Japan,2022,39.68030136986301,599.9300981753424,0.8574412231863013,83.64811,JPN
Jordan,2020,58.290601092896175,71.72421966661157,0.9336701042148761,,JOR
Jordan,2021,50.423452054794524,187.04779269041094,2.143098012109589,38.484707,JOR
Jordan,2022,15.019945205479452,166.83233140273973,0.36558014994520543,42.83461,JOR
Kazakhstan,2020,64.04598360655737,27.561530790220385,0.3779959734159779,,KAZ
Kazakhstan,2021,66.76742465753425,119.19016755068493,2.116610954520548,44.85319,KAZ
Kazakhstan,2022,22.875397260273974,57.63983736230137,0.113638952630137,54.15273,KAZ
Kenya,2020,58.033060109289615,4.8874148513360876,0.08464660684573003,,KEN
Kenya,2021,56.08969863013699,9.897209514273973,0.18730292050958905,10.930856,KEN
Kenya,2022,40.50810958904109,2.5367451032136983,0.015755867271232876,26.199654,KEN
Kiribati,2020,19.348715846994537,0.0,0.0,,KIR
Kiribati,2021,27.13682191780822,0.0,0.0,45.593678,KIR
Kiribati,2022,29.111424657534247,72.01903902246576,0.27295845643835615,73.71381,KIR
Kosovo,2020,57.463442622950815,81.9430744862259,2.1198948198347107,,XKX
Kosovo,2021,52.047232876712336,175.89935754273972,2.6441199120547947,51.45196,XKX
Kosovo,2022,35.66509589041096,176.760530079726,0.338090118630137,52.776855,XKX
Kuwait,2020,65.68174863387978,90.21523346749312,0.5600261812672176,,KWT
Kuwait,2021,65.0757808219178,158.98839219643835,0.9163235019178082,72.65303,KWT
Kuwait,2022,14.822493150684931,147.0218637252055,0.06088924931506849,75.27644,KWT
Kyrgyzstan,2020,60.06754098360656,0.0,0.0,,KGZ
Kyrgyzstan,2021,48.945287671232876,27.134575827397263,0.3387341624657534,17.70198,KGZ
Kyrgyzstan,2022,29.0012602739726,7.705808422958905,0.06459581534246575,23.535107,KGZ
Laos,2020,34.96978142076503,0.014942127575757577,0.0,,LAO
Laos,2021,53.32117808219178,40.23830165189041,0.1348296120821918,49.5401,LAO
Laos,2022,50.16328767123287,38.67869987690411,0.10837111246575344,77.902405,LAO
Latvia,2020,40.644617486338795,53.20547833415978,0.9255673551515151,0.12407904,LVA
Latvia,2021,49.57482191780822,342.4171429315068,6.092458563287671,69.86081,LVA
Latvia,2022,16.232438356164383,1018.2110496986302,3.1984314605479454,71.565216,LVA
Lebanon,2020,60.66633879781421,85.35952507818182,0.692003150523416,,LBN
Lebanon,2021,64.71441095890411,260.23451183561644,3.6528141534246577,39.215828,LBN
Lebanon,2022,30.18454794520548,237.998559929863,0.7845514026575342,47.701817,LBN
Lesotho,2020,48.986010928961754,3.10534811261708,0.07712156746556474,,LSO
Lesotho,2021,57.27227397260274,32.44726547030137,0.7274419087123287,34.214203,LSO
Lesotho,2022,25.41476712328767,5.797963789342465,0.041944756,43.66291,LSO
Liberia,2020,53.416639344262286,0.9505221709641873,0.04562916539944903,,LBR
Liberia,2021,42.90098630136986,2.4117230227671236,0.10095584515068493,14.606265,LBR
Liberia,2022,39.65224657534247,0.7490108068219178,0.0035691460547945205,72.65189,LBR
Libya,2020,70.5172131147541,38.11053431752066,0.5563943523415978,,LBY
Libya,2021,63.24679452054794,109.32197892054795,1.6069399480547943,25.667875,LBY
Libya,2022,36.52597260273973,45.11682045479452,0.28103433994520544,31.959948,LBY
Liechtenstein,2020,43.42991803278689,155.67560574380164,3.0812985592286504,0.0,LIE
Liechtenstein,2021,46.876465753424654,283.24942262465754,1.7411447369863013,66.49296,LIE
Liechtenstein,2022,15.942493150684932,1045.592230849315,1.253624205479452,68.033455,LIE
Lithuania,2020,47.048114754098364,141.85319567305785,1.760317083553719,0.34629986,LTU
Lithuania,2021,46.80186301369863,368.978336499726,5.443615809260274,68.081696,LTU
Lithuania,2022,14.178054794520547,743.058907730137,2.027861169753425,69.45305,LTU
Luxembourg,2020,42.729207650273224,161.8488660077135,1.2017540917355372,0.19148496,LUX
Luxembourg,2021,46.043342465753426,241.15158271232877,1.4677515635616438,71.08347,LUX
Luxembourg,2022,22.981342465753425,1127.983847671233,1.3419442783561644,73.76182,LUX
Macao,2020,29.50928961748634,,,,MAC
Macao,2021,27.41317808219178,,,70.007385,MAC
Macao,2022,43.13065753424657,,,96.045204,MAC
Madagascar,2020,47.950710382513655,1.603261798939394,0.02362263355371901,,MDG
Madagascar,2021,47.57082191780822,2.931248567712329,0.06894937503835616,1.935138,MDG
Madagascar,2022,17.16558904109589,1.5726038503013697,0.03519478549589041,6.8994317,MDG
Malawi,2020,45.180628415300546,0.8666770090798898,0.025313236539944904,,MWI
Malawi,2021,41.52879452054795,9.021540681791782,0.28850815052054796,7.2570105,MWI
Malawi,2022,30.219260273972605,1.8837940512967033,0.04395553540273973,22.30105,MWI
Malaysia,2020,55.87286885245902,8.772504879110192,0.036762183236914596,,MYS
Malaysia,2021,70.62068493150684,209.0675334630137,2.449806887128767,75.04142,MYS
Malaysia,2022,21.076821917808218,179.09854017260275,0.42404148338630143,81.05689,MYS
Mali,2020,38.95928961748634,0.8392466343746556,0.03211798861707989,,MLI
Mali,2021,44.79865753424657,1.619780014810959,0.046191218789041096,3.803314,MLI
Mali,2022,28.688794520547944,1.4367962696219179,0.010093196909589042,14.320537,MLI
Malta,2020,45.752486338797816,65.79934872727273,1.1839293013774104,,MLT
Malta,2021,51.80452054794521,180.61026665753425,1.3797338290410959,84.17646,MLT
Malta,2022,22.130027397260275,356.86867353424657,1.7687565402739727,90.601746,MLT
Mauritania,2020,38.821693989071036,8.01815380245179,0.1921057260881543,,MRT
Mauritania,2021,37.49983561643836,15.151071854246576,0.2938846102739726,23.919506,MRT
Mauritania,2022,32.46643835616438,12.57709310282967,0.07529739512328767,43.05058,MRT
Mauritius,2020,29.822076502732237,1.137647503030303,0.021587239669421488,,MUS
Mauritius,2021,52.539589041095894,194.43786322904108,1.6659907295890413,73.42896,MUS
Mauritius,2022,20.569013698630137,431.7299004575342,0.5453114032876712,88.06074,MUS
Mexico,2020,57.39265027322404,32.04491748314601,3.162002014694215,0.019436587,MEX
Mexico,2021,49.1213698630137,54.080744952328764,3.327362562821918,63.6918,MEX
Mexico,2022,25.42287671232877,68.9506573809041,0.5895774849808219,75.55955,MEX
Moldova,2020,52.68349726775956,130.34803409118456,2.8182672559228648,,MDA
Moldova,2021,53.74821917808219,209.0303428290411,6.451904176164384,32.56255,MDA
Moldova,2022,17.024438356164385,198.8815923731507,1.4996463753424656,36.33076,MDA
Monaco,2020,50.12986338797814,51.34788096418733,0.2121813223140496,,MCO
Monaco,2021,38.832027397260276,303.86691526027397,2.461884657534247,74.13351,MCO
Monaco,2022,21.403616438356167,803.8405455616438,1.8991681643835618,,MCO
